TimeStamp,Open,Close,High,Low,Volume
04 January 2021,32834.7644,31368.39028,32834.7644,29292.51437,32872880446
03 January 2021,35440.63324,33130.36428,35915.86766,33130.36428,75525177565
02 January 2021,29750.20035,32125.41319,32782.28678,29625.74441,64302222520
01 January 2021,28911.91008,29385.57249,29385.57249,28911.91008,38672617259
31 December 2020,28777.32078,29005.86431,29082.61697,28196.15923,46232114550
30 December 2020,27606.16729,28856.25286,28856.25286,27606.16729,49716547776
29 December 2020,27099.50363,27369.72814,27369.72814,26528.03676,43104981986
28 December 2020,27167.68228,27080.02681,27213.06858,27080.02681,48365268288
27 December 2020,27159.42757,26307.86451,27603.12743,26307.86451,63770602152
26 December 2020,24810.27309,26413.02331,26413.02331,24810.27309,47874926694
25 December 2020,23918.11376,24692.92736,24692.92736,23723.10835,41021622302
24 December 2020,23647.64843,23769.26778,23769.26778,23594.06496,40928613618
23 December 2020,23197.83864,23227.3096,23358.27869,23105.24742,49887314705
22 December 2020,23158.08624,23879.0772,23879.0772,23124.6624,43529462774
21 December 2020,23128.40955,22754.09936,23552.03366,22335.98041,44736375299
20 December 2020,23514.00171,23494.24413,23750.89035,23289.95588,38151394087
19 December 2020,23185.91557,23818.01012,23818.01012,23185.91557,38378799920
18 December 2020,22916.37149,23138.76242,23138.76242,22747.50575,40680345250
17 December 2020,21367.65633,22755.3489,23044.58974,21367.65633,65359428771
16 December 2020,19856.17536,21317.09726,21370.0136,19856.17536,43861894965
15 December 2020,19305.60055,19444.08996,19467.62371,19285.62939,26487616557
14 December 2020,19137.42365,19242.21187,19242.21187,19137.42365,23418889909
13 December 2020,19151.7745,19196.03811,19316.60341,19151.7745,24717881882
12 December 2020,18371.5259,18832.30734,18832.30734,18371.5259,22761412659
11 December 2020,18068.10442,18019.81732,18068.10442,17791.66274,27785679211
10 December 2020,18349.94342,18233.05584,18349.94342,18090.73776,25673420029
09 December 2020,18525.62878,18572.2599,18572.2599,18194.29972,32169576005
08 December 2020,18760.3993,18319.92675,18822.73948,18313.13146,28293259133
07 December 2020,19224.47033,19181.51939,19232.35705,19095.06284,23293128121
06 December 2020,19273.04683,19389.79394,19389.79394,19209.93065,22640049261
05 December 2020,19137.21807,19186.59626,19186.59626,19137.21807,24202389084
04 December 2020,18841.21756,18642.18235,18877.45116,18604.08288,28161451952
03 December 2020,19476.80996,19434.99952,19488.38748,19350.48107,26810870361
02 December 2020,18926.17513,19207.98178,19207.98178,18723.31447,31609202041
01 December 2020,19360.52576,18765.03432,19360.52576,18612.63606,41994232956
30 November 2020,18731.15189,19694.08796,19694.08796,18731.15189,39378487252
29 November 2020,18320.42461,18236.30671,18320.42461,18236.30671,24889947831
28 November 2020,17473.26759,17731.92733,17731.92733,17393.99886,26230593518
27 November 2020,17185.98468,17165.2342,17275.80036,16836.38449,33404363093
26 November 2020,18172.39005,17196.60225,18231.24033,16753.82823,52823442868
25 November 2020,18747.07079,18777.61838,18870.96826,18747.07079,37019122943
24 November 2020,18373.6517,19122.66187,19122.66187,18373.6517,45996284674
23 November 2020,19479.7834,18474.49949,19479.7834,18474.49949,35976121017
22 November 2020,18908.07782,18492.14446,18908.07782,18492.14446,34809835880
21 November 2020,19525.82582,18760.00473,19525.82582,18760.00473,33375136854
20 November 2020,18559.44506,18690.86437,18690.86437,18556.57561,31864370433
19 November 2020,17708.90645,17835.25873,17849.47125,17639.46182,33056568801
18 November 2020,17619.08972,17818.07172,18055.97431,17565.63584,44782533997
17 November 2020,17029.95388,17668.59471,17668.59471,17029.95388,35625111503
16 November 2020,16148.51942,16684.3032,16684.3032,16148.51942,27166907076
15 November 2020,15802.76683,15947.24887,15955.38416,15802.76683,20265403220
14 November 2020,16029.7804,16080.87158,16080.87158,15938.24512,23521730081
13 November 2020,16543.26811,16328.55504,16543.26811,16328.55504,26924410268
